City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
buala,SB,-8.145,159.5921,79.21,84,69,7.09,1627234878
santiago del estero,AR,-27.7951,-64.2615,69.8,24,0,10.76,1627234824
ascension,US,30.2169,-90.9001,94.1,62,1,4.61,1627234942
los llanos de aridane,ES,28.6585,-17.9182,73.15,82,20,16.11,1627234943
coihaique,CL,-45.5752,-72.0662,44.55,49,40,4.61,1627234691
china,MX,25.7,-99.2333,95.85,29,30,12.1,1627234943
villarrica,PY,-25.75,-56.4333,91.8,24,53,11.07,1627234943
capoterra,IT,39.1763,8.9718,87.51,69,0,8.05,1627234944
yumen,CN,40.2833,97.2,80.67,26,97,11.18,1627234676
remedios,CU,22.4947,-79.5458,90.52,66,46,9.08,1627234944
nyagan,RU,62.1406,65.3936,48.11,76,12,4.9,1627234944
nhulunbuy,AU,-12.2333,136.7667,68.61,88,47,2.3,1627234945
carbonia,IT,39.1672,8.5222,86.95,46,100,5.3,1627234945
ust-kuyga,RU,70.0167,135.6,51.06,75,32,3.15,1627234780
popondetta,PG,-8.7537,148.2534,73.18,91,87,2.08,1627234945
kalulushi,ZM,-12.8378,28.0919,42.76,44,0,5.59,1627234946
olavarria,AR,-36.8927,-60.3225,58.53,54,44,12.75,1627234878
salalah,OM,17.0151,54.0924,78.89,94,75,6.91,1627234851
atotonilco el grande,MX,20.2833,-98.6667,72.97,46,2,9.28,1627234946
mogadouro,PT,41.3403,-6.7119,74.21,47,64,9.71,1627234946
methoni,GR,36.8197,21.7049,82.26,74,0,10.96,1627234947
malpe,IN,13.35,74.7167,78.1,89,48,13.47,1627234798
sovetskiy,RU,61.3614,63.5842,51.4,69,48,4.21,1627234947
flin flon,CA,54.7682,-101.865,58.84,100,90,4.61,1627234948
taltal,CL,-25.4,-70.4833,61.18,66,7,6.69,1627234852
svetlyy,RU,54.675,20.1347,78.85,70,64,9.98,1627234948
kavaratti,IN,10.5669,72.642,81.55,77,100,22.39,1627234948
bengkulu,ID,-3.8004,102.2655,75.49,90,2,4.83,1627234949
vizinga,RU,61.0749,50.1031,55.38,66,98,5.21,1627234949
pokrovsk,UA,48.282,37.1758,73.06,55,79,8.03,1627234949
rosetta,EG,31.4044,30.4164,82.22,71,0,13.82,1627234950
vallenar,CL,-28.5708,-70.7581,67.86,29,0,5.73,1627234950
carolina,PR,18.3808,-65.9574,87.73,81,75,5.75,1627234950
cabedelo,BR,-6.9811,-34.8339,77.67,70,8,15.48,1627234792
penzance,GB,50.1186,-5.5371,68.77,83,86,10.07,1627234951
chichihualco,MX,17.6833,-99.65,79.0,54,40,3.24,1627234951
sarakhs,IR,36.5449,61.1577,95.14,18,0,9.22,1627234720
pacora,PA,9.0833,-79.2833,84.09,89,90,8.05,1627234951
praya,CV,14.9215,-23.5087,81.14,57,20,16.11,1627234737
brae,GB,60.3964,-1.353,60.71,74,64,3.83,1627234952
veinticinco de mayo,AR,-35.4323,-60.1727,59.05,80,45,13.0,1627234952
labuhan,ID,-6.8844,112.2051,74.55,81,11,4.83,1627234801
emba,KZ,48.8264,58.1442,76.42,36,0,10.49,1627234952
najran,SA,17.4924,44.1277,92.05,24,100,8.55,1627234953
rapid valley,US,44.0625,-103.1463,96.01,26,1,1.99,1627234772
tabou,CI,4.423,-7.3528,78.13,70,88,7.25,1627234953
weiser,US,44.251,-116.9693,92.32,21,0,0.89,1627234855
muktsar,IN,30.4833,74.5167,96.66,44,76,9.06,1627234954
lima,PE,-12.0432,-77.0282,64.65,72,90,5.75,1627234800
enumclaw,US,47.2043,-121.9915,77.83,61,1,3.0,1627234833
omsukchan,RU,62.5333,155.8,49.14,98,100,7.09,1627234954
maiduguri,NG,11.8464,13.1603,85.01,55,100,10.83,1627234866
mahibadhoo,MV,3.7833,72.9667,82.15,77,100,19.98,1627234955
mareeba,AU,-17.0,145.4333,63.32,78,50,2.01,1627234955
inirida,CO,3.8653,-67.9239,81.5,74,100,3.22,1627234955
novouzensk,RU,50.4592,48.1431,68.31,46,18,9.15,1627234955
poya,NC,-21.35,165.15,65.34,89,14,0.72,1627234956
asfi,MA,32.2994,-9.2372,73.15,67,0,20.54,1627234868
anloga,GH,5.7947,0.8973,79.02,76,16,15.46,1627234956
aquiraz,BR,-3.9014,-38.3911,86.22,55,2,12.59,1627234956
young,UY,-32.6833,-57.6333,68.79,73,31,10.83,1627234817
bereda,ES,43.2686,-7.5406,72.41,80,64,5.99,1627234957
notre-dame-du-lac,CA,47.6136,-68.7964,67.44,98,100,12.33,1627234957
vostok,RU,46.4856,135.8833,65.73,89,88,3.62,1627234783
bolshaya glushitsa,RU,50.2406,43.5908,67.03,51,9,8.81,1627234958
muros,ES,42.7762,-9.0603,80.17,72,46,11.68,1627234958
terra santa,BR,-2.1042,-56.4869,96.03,30,86,5.59,1627234958
emilio carranza,MX,19.9711,-96.6114,85.1,66,8,6.33,1627234959
consuegra,ES,39.4625,-3.608,86.83,23,23,11.41,1627234959
chumikan,RU,54.7183,135.315,62.47,92,28,11.32,1627234959
mehamn,NO,71.0357,27.8492,46.58,81,75,16.11,1627234725
urucara,BR,-2.5364,-57.76,95.32,32,59,5.17,1627234960
port keats,AU,-14.25,129.55,68.81,78,54,5.03,1627234764
quang ngai,VN,15.1167,108.8,81.99,67,99,4.41,1627234735
olinda,BR,-8.0089,-34.8553,76.73,69,75,13.8,1627234960
pouebo,NC,-20.4,164.5667,66.42,74,8,4.54,1627234960
cerrito,CO,6.8432,-72.694,51.19,83,100,0.74,1627234961
saint george,US,37.1041,-113.5841,90.43,47,10,3.0,1627234818
srivardhan,IN,18.0333,73.0167,80.15,88,100,17.56,1627234961
areka,ET,7.0667,37.7,55.53,96,100,2.55,1627234961
guerrero negro,MX,27.9769,-114.0611,76.05,61,60,9.53,1627234747
mancio lima,BR,-7.6142,-72.8958,86.07,54,75,6.91,1627234962
spirit river,CA,55.7833,-118.8361,66.74,39,92,6.13,1627234962
nioro,GM,13.35,-15.75,85.01,58,100,9.13,1627234962
codrington,AU,-38.2667,141.9667,49.68,92,98,15.17,1627234801
colares,PT,38.7992,-9.4469,74.88,72,75,10.0,1627234963
puerto escondido,MX,15.85,-97.0667,88.63,66,40,6.91,1627234958
grindavik,IS,63.8424,-22.4338,52.27,87,75,34.52,1627234963
luderitz,NA,-26.6481,15.1594,66.45,25,74,4.34,1627234964
laguna,US,38.421,-121.4238,100.44,48,1,3.44,1627234820
rudnichnyy,RU,59.617,52.4703,50.65,73,93,5.41,1627234964
nishihara,JP,26.1842,127.7558,80.26,94,75,11.5,1627234685
izhmorskiy,RU,56.194,86.6414,65.86,93,100,5.73,1627234964
balikpapan,ID,-1.2675,116.8289,76.86,81,31,7.85,1627234756
puerto baquerizo moreno,EC,-0.9,-89.6,76.19,73,20,11.5,1627234955
muli,MV,2.9167,73.5667,82.2,75,86,12.41,1627234965
san pedro,PH,14.35,121.0167,81.63,86,75,6.91,1627234965
hofn,IS,64.2539,-15.2082,52.14,88,97,15.17,1627234966
chipiona,ES,36.7366,-6.437,84.67,73,0,21.85,1627234966
santander,ES,43.4647,-3.8044,69.82,78,75,5.99,1627234966
beeville,US,28.4008,-97.7483,92.75,66,1,8.05,1627234967
thenzawl,IN,23.3167,92.75,69.37,99,97,0.89,1627234967
bani,DO,18.2833,-70.3333,89.04,65,36,10.6,1627234967
shangzhi,CN,45.2167,127.9667,70.29,79,88,2.59,1627234968
kudahuvadhoo,MV,2.6708,72.8944,81.23,78,93,13.67,1627234968
taoudenni,ML,22.6783,-3.9836,113.99,6,16,10.8,1627234760
parabel,RU,58.6978,81.4825,66.58,74,18,7.49,1627234968
muriwai beach,NZ,-36.8167,174.45,56.86,96,100,19.6,1627234969
halol,IN,22.5,73.4667,75.56,98,100,9.13,1627234969
manjeri,IN,11.1167,76.1167,75.88,88,75,2.3,1627234969
yerbogachen,RU,61.2767,108.0108,62.56,66,19,1.19,1627234970
metro,ID,-5.1131,105.3067,71.17,91,1,3.69,1627234970
hambantota,LK,6.1241,81.1185,80.02,80,82,17.56,1627234970
orlik,RU,52.5178,99.825,53.17,80,46,1.86,1627234971
longyearbyen,SJ,78.2186,15.6401,44.44,87,75,10.36,1627234971
debno,PL,52.739,14.698,76.14,73,84,7.45,1627234971
okhotsk,RU,59.3833,143.3,55.54,98,100,5.79,1627234806
kailua,US,21.4022,-157.7394,80.58,74,40,12.66,1627234831
tazovskiy,RU,67.4667,78.7,53.67,81,99,8.46,1627234972
qarqin,AF,37.4185,66.0436,97.83,12,0,11.27,1627234972
santa isabel do rio negro,BR,-0.4139,-65.0192,88.65,59,67,1.45,1627234972
san patricio,US,28.017,-97.5169,93.29,44,4,10.49,1627234973
camana,PE,-16.6228,-72.7111,63.73,76,55,9.04,1627234973
ankpa,NG,7.3706,7.6253,71.83,94,92,5.48,1627234973
carballo,ES,43.213,-8.691,75.58,83,71,5.06,1627234763
sao miguel do araguaia,BR,-13.275,-50.1628,92.1,22,1,6.87,1627234974
mlonggo,ID,-6.5333,110.7,75.36,70,2,6.55,1627234780
gat,IL,31.61,34.7642,83.8,75,0,11.56,1627234974
sile,TR,41.1754,29.6133,77.58,63,58,5.99,1627234974
kuvshinovo,RU,57.0295,34.1725,62.94,66,100,2.64,1627234975
ler,SS,8.3018,30.1418,70.63,97,100,7.34,1627234975
strezhevoy,RU,60.7333,77.5889,58.98,98,99,3.56,1627234808
kaduqli,SD,11.0167,29.7167,75.67,80,100,5.61,1627234975
ghanzi,BW,-21.5667,21.7833,53.24,48,0,9.78,1627234976
changli,CN,39.7042,119.1506,74.05,92,54,3.02,1627234976
waipawa,NZ,-41.4122,175.5153,53.46,78,100,12.41,1627234976
praia,CV,14.9215,-23.5087,81.14,57,20,16.11,1627234859
karlskrona,SE,56.1616,15.5866,73.85,77,100,13.6,1627234977
padang,ID,-0.9492,100.3543,78.21,85,30,3.27,1627234977
sur,OM,22.5667,59.5289,93.7,53,42,9.86,1627234777
olafsvik,IS,64.8945,-23.7142,50.07,85,69,27.78,1627234776
bemidji,US,47.4736,-94.8803,87.15,26,1,18.41,1627234715
atkinson,US,42.8384,-71.147,71.83,88,90,1.99,1627234978
brazzaville,CG,-4.2658,15.2832,79.16,65,32,4.61,1627234978
rumoi,JP,43.9344,141.6428,70.66,92,18,5.23,1627234978
lindi,TZ,-10.0,39.7167,72.84,63,35,5.5,1627234979
salta,AR,-24.7859,-65.4117,85.57,17,0,4.0,1627234883
mogadishu,SO,2.0371,45.3438,76.1,79,36,21.85,1627234687
tisul,RU,55.7611,88.3122,66.0,95,100,3.13,1627234979
obera,AR,-27.4871,-55.1199,84.74,29,80,7.67,1627234879
tupik,RU,54.4253,119.9327,56.03,94,100,5.44,1627234980
bunia,CD,1.5667,30.25,67.91,77,99,2.55,1627234980
saint-joseph,RE,-21.3667,55.6167,68.38,75,20,11.83,1627234863
yar-sale,RU,66.8333,70.8333,49.73,77,56,19.24,1627234981
khani,GE,41.9563,42.9566,65.77,97,56,2.33,1627234981
haines junction,CA,60.7522,-137.5108,53.55,66,97,3.44,1627234762
talagang,PK,32.9297,72.4158,98.01,36,9,7.67,1627234981
korfovskiy,RU,48.2183,135.0564,71.06,90,99,2.28,1627234982
sistranda,NO,63.7256,8.834,57.16,87,55,9.13,1627234950
auki,SB,-8.7676,160.7034,76.91,88,94,4.43,1627234982
ballina,AU,-28.8667,153.5667,42.98,81,0,3.44,1627234982
komsomolskiy,UZ,40.4272,71.7189,86.72,28,1,4.61,1627234983
pobe,BJ,6.9801,2.6649,76.68,71,81,8.63,1627234983
mehtar lam,AF,34.6714,70.2094,93.74,38,0,2.48,1627234983
amuntai,ID,-2.4177,115.2494,71.31,92,4,1.16,1627234984
ituporanga,BR,-27.4144,-49.6025,76.01,44,64,2.59,1627234984
floro,NO,61.5996,5.0328,75.9,64,20,14.97,1627234984
nizwa,OM,22.9333,57.5333,88.45,52,73,7.09,1627234984
ulaanbaatar,MN,47.9077,106.8832,60.93,77,40,2.24,1627234827
alihe,CN,50.5667,123.7167,57.2,96,11,3.27,1627234985
maniitsoq,GL,65.4167,-52.9,45.61,72,97,8.66,1627234985
itarema,BR,-2.9248,-39.9167,86.34,52,47,18.19,1627234985
vila velha,BR,-20.3297,-40.2925,76.96,56,40,9.22,1627234986
dobryatino,RU,55.5055,41.3195,61.88,55,67,4.27,1627234986
robertsport,LR,6.7533,-11.3686,78.91,73,70,10.33,1627234986
cayenne,GF,4.9333,-52.3333,84.09,79,40,1.99,1627234810
prachuap khiri khan,TH,12.2167,99.75,80.69,81,100,13.49,1627234987
arandis,NA,-22.4167,14.9667,69.1,19,3,3.69,1627234987
belen,TR,36.4891,36.2233,77.14,65,0,18.41,1627234988
back mountain,US,41.3359,-75.9963,82.17,80,72,5.03,1627234858
dhanaula,IN,30.2833,75.5833,91.67,54,92,7.34,1627234988
servia,GR,40.1797,21.9944,82.71,26,0,3.44,1627234988
rangapara,IN,26.8167,92.65,78.17,97,100,1.72,1627234989
shingu,JP,33.7333,135.9833,75.9,80,0,5.08,1627234989
narsaq,GL,60.9167,-46.05,57.42,48,100,4.34,1627234989
